iso3,yearmon,region_code,pop,FEWS_ipc1,FEWS_ipc1_4month,FEWS_ipc1_8month,FEWS_ipc2,FEWS_ipc2_4month,FEWS_ipc2_8month,FEWS_ipc3,FEWS_ipc3_4month,FEWS_ipc3_8month,FEWS_ipc4,FEWS_ipc4_4month,FEWS_ipc4_8month,FEWS_ipc5,FEWS_ipc5_4month,FEWS_ipc5_8month,FEWS_ipcNA,FEWS_ipcNA_4month,FEWS_ipcNA_8month
AFG,Jan 1989,SAR,11874088.0,,,,,,,,,,,,,,,,,,
AFG,Feb 1989,SAR,11874088.0,,,,,,,,,,,,,,,,,,
AFG,Mar 1989,SAR,11874088.0,,,,,,,,,,,,,,,,,,
AFG,Apr 1989,SAR,11874088.0,,,,,,,,,,,,,,,,,,
AFG,May 1989,SAR,11874088.0,,,,,,,,,,,,,,,,,,
AFG,Jun 1989,SAR,11874088.0,,,,,,,,,,,,,,,,,,
AFG,Jul 1989,SAR,11874088.0,,,,,,,,,,,,,,,,,,
AFG,Aug 1989,SAR,11874088.0,,,,,,,,,,,,,,,,,,
AFG,Sep 1989,SAR,11874088.0,,,,,,,,,,,,,,,,,,
AFG,Oct 1989,SAR,11874088.0,,,,,,,,,,,,,,,,,,
AFG,Nov 1989,SAR,11874088.0,,,,,,,,,,,,,,,,,,
AFG,Dec 1989,SAR,11874088.0,,,,,,,,,,,,,,,,,,
AFG,Jan 1990,SAR,12045660.0,,,,,,,,,,,,,,,,,,
AFG,Feb 1990,SAR,12045660.0,,,,,,,,,,,,,,,,,,
AFG,Mar 1990,SAR,12045660.0,,,,,,,,,,,,,,,,,,
AFG,Apr 1990,SAR,12045660.0,,,,,,,,,,,,,,,,,,
AFG,May 1990,SAR,12045660.0,,,,,,,,,,,,,,,,,,
AFG,Jun 1990,SAR,12045660.0,,,,,,,,,,,,,,,,,,
AFG,Jul 1990,SAR,12045660.0,,,,,,,,,,,,,,,,,,
AFG,Aug 1990,SAR,12045660.0,,,,,,,,,,,,,,,,,,
AFG,Sep 1990,SAR,12045660.0,,,,,,,,,,,,,,,,,,
AFG,Oct 1990,SAR,12045660.0,,,,,,,,,,,,,,,,,,
AFG,Nov 1990,SAR,12045660.0,,,,,,,,,,,,,,,,,,
AFG,Dec 1990,SAR,12045660.0,,,,,,,,,,,,,,,,,,
AFG,Jan 1991,SAR,12238879.0,,,,,,,,,,,,,,,,,,
AFG,Feb 1991,SAR,12238879.0,,,,,,,,,,,,,,,,,,
AFG,Mar 1991,SAR,12238879.0,,,,,,,,,,,,,,,,,,
AFG,Apr 1991,SAR,12238879.0,,,,,,,,,,,,,,,,,,
AFG,May 1991,SAR,12238879.0,,,,,,,,,,,,,,,,,,
AFG,Jun 1991,SAR,12238879.0,,,,,,,,,,,,,,,,,,
AFG,Jul 1991,SAR,12238879.0,,,,,,,,,,,,,,,,,,
AFG,Aug 1991,SAR,12238879.0,,,,,,,,,,,,,,,,,,
AFG,Sep 1991,SAR,12238879.0,,,,,,,,,,,,,,,,,,
AFG,Oct 1991,SAR,12238879.0,,,,,,,,,,,,,,,,,,
AFG,Nov 1991,SAR,12238879.0,,,,,,,,,,,,,,,,,,
AFG,Dec 1991,SAR,12238879.0,,,,,,,,,,,,,,,,,,
AFG,Jan 1992,SAR,13278974.0,,,,,,,,,,,,,,,,,,
AFG,Feb 1992,SAR,13278974.0,,,,,,,,,,,,,,,,,,
AFG,Mar 1992,SAR,13278974.0,,,,,,,,,,,,,,,,,,
AFG,Apr 1992,SAR,13278974.0,,,,,,,,,,,,,,,,,,
AFG,May 1992,SAR,13278974.0,,,,,,,,,,,,,,,,,,
AFG,Jun 1992,SAR,13278974.0,,,,,,,,,,,,,,,,,,
AFG,Jul 1992,SAR,13278974.0,,,,,,,,,,,,,,,,,,
AFG,Aug 1992,SAR,13278974.0,,,,,,,,,,,,,,,,,,
AFG,Sep 1992,SAR,13278974.0,,,,,,,,,,,,,,,,,,
AFG,Oct 1992,SAR,13278974.0,,,,,,,,,,,,,,,,,,
AFG,Nov 1992,SAR,13278974.0,,,,,,,,,,,,,,,,,,
AFG,Dec 1992,SAR,13278974.0,,,,,,,,,,,,,,,,,,
AFG,Jan 1993,SAR,14943172.0,,,,,,,,,,,,,,,,,,
AFG,Feb 1993,SAR,14943172.0,,,,,,,,,,,,,,,,,,
AFG,Mar 1993,SAR,14943172.0,,,,,,,,,,,,,,,,,,
AFG,Apr 1993,SAR,14943172.0,,,,,,,,,,,,,,,,,,
AFG,May 1993,SAR,14943172.0,,,,,,,,,,,,,,,,,,
