iso3,yearmon,region_code,pop,VDEM_deliberative,VDEM_egalitarian,VDEM_electoral,VDEM_liberal,VDEM_participatory
AFG,Jan 1989,SAR,11874088.0,0.036,0.116,0.092,0.05,0.026
AFG,Feb 1989,SAR,11874088.0,0.036,0.116,0.092,0.05,0.026
AFG,Mar 1989,SAR,11874088.0,0.036,0.116,0.092,0.05,0.026
AFG,Apr 1989,SAR,11874088.0,0.036,0.116,0.092,0.05,0.026
AFG,May 1989,SAR,11874088.0,0.036,0.116,0.092,0.05,0.026
AFG,Jun 1989,SAR,11874088.0,0.036,0.116,0.092,0.05,0.026
AFG,Jul 1989,SAR,11874088.0,0.036,0.116,0.092,0.05,0.026
AFG,Aug 1989,SAR,11874088.0,0.036,0.116,0.092,0.05,0.026
AFG,Sep 1989,SAR,11874088.0,0.036,0.116,0.092,0.05,0.026
AFG,Oct 1989,SAR,11874088.0,0.036,0.116,0.092,0.05,0.026
AFG,Nov 1989,SAR,11874088.0,0.036,0.116,0.092,0.05,0.026
AFG,Dec 1989,SAR,11874088.0,0.036,0.116,0.092,0.05,0.026
AFG,Jan 1990,SAR,12045660.0,0.036,0.101,0.091,0.046,0.024
AFG,Feb 1990,SAR,12045660.0,0.036,0.101,0.091,0.046,0.024
AFG,Mar 1990,SAR,12045660.0,0.036,0.101,0.091,0.046,0.024
AFG,Apr 1990,SAR,12045660.0,0.036,0.101,0.091,0.046,0.024
AFG,May 1990,SAR,12045660.0,0.036,0.101,0.091,0.046,0.024
AFG,Jun 1990,SAR,12045660.0,0.036,0.101,0.091,0.046,0.024
AFG,Jul 1990,SAR,12045660.0,0.036,0.101,0.091,0.046,0.024
AFG,Aug 1990,SAR,12045660.0,0.036,0.101,0.091,0.046,0.024
AFG,Sep 1990,SAR,12045660.0,0.036,0.101,0.091,0.046,0.024
AFG,Oct 1990,SAR,12045660.0,0.036,0.101,0.091,0.046,0.024
AFG,Nov 1990,SAR,12045660.0,0.036,0.101,0.091,0.046,0.024
AFG,Dec 1990,SAR,12045660.0,0.036,0.101,0.091,0.046,0.024
AFG,Jan 1991,SAR,12238879.0,0.036,0.1,0.091,0.044,0.024
AFG,Feb 1991,SAR,12238879.0,0.036,0.1,0.091,0.044,0.024
AFG,Mar 1991,SAR,12238879.0,0.036,0.1,0.091,0.044,0.024
AFG,Apr 1991,SAR,12238879.0,0.036,0.1,0.091,0.044,0.024
AFG,May 1991,SAR,12238879.0,0.036,0.1,0.091,0.044,0.024
AFG,Jun 1991,SAR,12238879.0,0.036,0.1,0.091,0.044,0.024
AFG,Jul 1991,SAR,12238879.0,0.036,0.1,0.091,0.044,0.024
AFG,Aug 1991,SAR,12238879.0,0.036,0.1,0.091,0.044,0.024
AFG,Sep 1991,SAR,12238879.0,0.036,0.1,0.091,0.044,0.024
AFG,Oct 1991,SAR,12238879.0,0.036,0.1,0.091,0.044,0.024
AFG,Nov 1991,SAR,12238879.0,0.036,0.1,0.091,0.044,0.024
AFG,Dec 1991,SAR,12238879.0,0.036,0.1,0.091,0.044,0.024
AFG,Jan 1992,SAR,13278974.0,0.032,0.064,0.094,0.035,0.027
AFG,Feb 1992,SAR,13278974.0,0.032,0.064,0.094,0.035,0.027
AFG,Mar 1992,SAR,13278974.0,0.032,0.064,0.094,0.035,0.027
AFG,Apr 1992,SAR,13278974.0,0.032,0.064,0.094,0.035,0.027
AFG,May 1992,SAR,13278974.0,0.032,0.064,0.094,0.035,0.027
AFG,Jun 1992,SAR,13278974.0,0.032,0.064,0.094,0.035,0.027
AFG,Jul 1992,SAR,13278974.0,0.032,0.064,0.094,0.035,0.027
AFG,Aug 1992,SAR,13278974.0,0.032,0.064,0.094,0.035,0.027
AFG,Sep 1992,SAR,13278974.0,0.032,0.064,0.094,0.035,0.027
AFG,Oct 1992,SAR,13278974.0,0.032,0.064,0.094,0.035,0.027
AFG,Nov 1992,SAR,13278974.0,0.032,0.064,0.094,0.035,0.027
AFG,Dec 1992,SAR,13278974.0,0.032,0.064,0.094,0.035,0.027
AFG,Jan 1993,SAR,14943172.0,0.026,0.044,0.092,0.027,0.027
AFG,Feb 1993,SAR,14943172.0,0.026,0.044,0.092,0.027,0.027
AFG,Mar 1993,SAR,14943172.0,0.026,0.044,0.092,0.027,0.027
AFG,Apr 1993,SAR,14943172.0,0.026,0.044,0.092,0.027,0.027
AFG,May 1993,SAR,14943172.0,0.026,0.044,0.092,0.027,0.027
AFG,Jun 1993,SAR,14943172.0,0.026,0.044,0.092,0.027,0.027
AFG,Jul 1993,SAR,14943172.0,0.026,0.044,0.092,0.027,0.027
AFG,Aug 1993,SAR,14943172.0,0.026,0.044,0.092,0.027,0.027
AFG,Sep 1993,SAR,14943172.0,0.026,0.044,0.092,0.027,0.027
AFG,Oct 1993,SAR,14943172.0,0.026,0.044,0.092,0.027,0.027
AFG,Nov 1993,SAR,14943172.0,0.026,0.044,0.092,0.027,0.027
AFG,Dec 1993,SAR,14943172.0,0.026,0.044,0.092,0.027,0.027
AFG,Jan 1994,SAR,16250794.0,0.026,0.044,0.092,0.027,0.027
AFG,Feb 1994,SAR,16250794.0,0.026,0.044,0.092,0.027,0.027
AFG,Mar 1994,SAR,16250794.0,0.026,0.044,0.092,0.027,0.027
AFG,Apr 1994,SAR,16250794.0,0.026,0.044,0.092,0.027,0.027
AFG,May 1994,SAR,16250794.0,0.026,0.044,0.092,0.027,0.027
AFG,Jun 1994,SAR,16250794.0,0.026,0.044,0.092,0.027,0.027
AFG,Jul 1994,SAR,16250794.0,0.026,0.044,0.092,0.027,0.027
AFG,Aug 1994,SAR,16250794.0,0.026,0.044,0.092,0.027,0.027
AFG,Sep 1994,SAR,16250794.0,0.026,0.044,0.092,0.027,0.027
AFG,Oct 1994,SAR,16250794.0,0.026,0.044,0.092,0.027,0.027
AFG,Nov 1994,SAR,16250794.0,0.026,0.044,0.092,0.027,0.027
AFG,Dec 1994,SAR,16250794.0,0.026,0.044,0.092,0.027,0.027
AFG,Jan 1995,SAR,17065836.0,0.026,0.044,0.092,0.026,0.023
AFG,Feb 1995,SAR,17065836.0,0.026,0.044,0.092,0.026,0.023
AFG,Mar 1995,SAR,17065836.0,0.026,0.044,0.092,0.026,0.023
AFG,Apr 1995,SAR,17065836.0,0.026,0.044,0.092,0.026,0.023
AFG,May 1995,SAR,17065836.0,0.026,0.044,0.092,0.026,0.023
AFG,Jun 1995,SAR,17065836.0,0.026,0.044,0.092,0.026,0.023
AFG,Jul 1995,SAR,17065836.0,0.026,0.044,0.092,0.026,0.023
AFG,Aug 1995,SAR,17065836.0,0.026,0.044,0.092,0.026,0.023
AFG,Sep 1995,SAR,17065836.0,0.026,0.044,0.092,0.026,0.023
AFG,Oct 1995,SAR,17065836.0,0.026,0.044,0.092,0.026,0.023
AFG,Nov 1995,SAR,17065836.0,0.026,0.044,0.092,0.026,0.023
AFG,Dec 1995,SAR,17065836.0,0.026,0.044,0.092,0.026,0.023
AFG,Jan 1996,SAR,17763266.0,0.008,0.04,0.075,0.026,0.012
AFG,Feb 1996,SAR,17763266.0,0.008,0.04,0.075,0.026,0.012
AFG,Mar 1996,SAR,17763266.0,0.008,0.04,0.075,0.026,0.012
AFG,Apr 1996,SAR,17763266.0,0.008,0.04,0.075,0.026,0.012
AFG,May 1996,SAR,17763266.0,0.008,0.04,0.075,0.026,0.012
AFG,Jun 1996,SAR,17763266.0,0.008,0.04,0.075,0.026,0.012
AFG,Jul 1996,SAR,17763266.0,0.008,0.04,0.075,0.026,0.012
AFG,Aug 1996,SAR,17763266.0,0.008,0.04,0.075,0.026,0.012
AFG,Sep 1996,SAR,17763266.0,0.008,0.04,0.075,0.026,0.012
AFG,Oct 1996,SAR,17763266.0,0.008,0.04,0.075,0.026,0.012
AFG,Nov 1996,SAR,17763266.0,0.008,0.04,0.075,0.026,0.012
AFG,Dec 1996,SAR,17763266.0,0.008,0.04,0.075,0.026,0.012
AFG,Jan 1997,SAR,18452091.0,0.006,0.043,0.072,0.029,0.012
AFG,Feb 1997,SAR,18452091.0,0.006,0.043,0.072,0.029,0.012
AFG,Mar 1997,SAR,18452091.0,0.006,0.043,0.072,0.029,0.012
AFG,Apr 1997,SAR,18452091.0,0.006,0.043,0.072,0.029,0.012
